,,# Tareas,,,SVM
2256.267,3007.824,415,16,-751.557,33
2258.008,2846.246,416,16,-588.238,26
2343.279,3147.041,417,16,-803.762,34
2258.151,2975.496,418,16,-717.345,32
2275.318,3020.081,419,16,-744.763,33
2196.526,2920.743,420,16,-724.217,33
2348.302,3014.498,421,16,-666.196,28
2369.509,2945.315,422,16,-575.806,24
2279.072,3070.217,423,16,-791.145,35
2251.244,2915.539,424,16,-664.295,30
2357.372,2978.698,425,16,-621.326,26
2335.686,3091.831,426,16,-756.145,32
2335.32,3059.48,427,16,-724.16,31
2382.518,3243.533,428,16,-861.015,36
2354.939,3034.896,429,16,-679.957,29
2323.515,3005.453,430,16,-681.938,29
2320.689,3153.705,431,16,-833.016,36
2365.622,3130.919,432,16,-765.297,32
2328.728,3030.708,433,16,-701.98,30
2398.276,2983.757,434,16,-585.481,24
2440.656,3244.049,435,16,-803.393,33
2434.799,3113.804,436,16,-679.005,28
2423.43,3454.575,437,16,-1031.145,43
2344.279,3146.376,438,16,-802.097,34
2393.984,3211.484,439,16,-817.5,34
2462.901,3421.223,440,16,-958.322,39
2401.302,3271.744,441,16,-870.442,36
2425.854,3295.573,442,16,-869.719,36
2446.803,3159.515,443,16,-712.712,29
2414.059,3199.148,444,16,-785.089,33
2413.105,3060.582,445,16,-647.477,27
2439.174,3395.719,446,16,-956.545,39
2429.198,3344.722,447,16,-915.524,38
2411.781,3121.364,448,16,-709.583,29
2477.498,3374.412,449,16,-896.914,36
2430.125,3272.073,450,16,-841.948,35
2494.432,3213.326,451,16,-718.894,29
2435.984,3133.198,452,16,-697.214,29
2534.263,3456.117,453,16,-921.854,36
2446.389,3182.108,454,16,-735.719,30
2487.873,3287.035,455,16,-799.162,32
2464.838,3175.71,456,16,-710.872,29
2521.051,3276.82,457,16,-755.769,30
2442.912,3321.067,458,16,-878.155,36
2479.166,3431.726,459,16,-952.56,38
2504.295,3199.107,460,16,-694.812,28
2493.156,3258.329,461,16,-765.173,31
2498.589,3368.962,462,16,-870.373,35
2505.587,3156.658,463,16,-651.071,26
2479.82,3152.065,464,16,-672.245,27
2465.062,3314.722,465,16,-849.66,34
2477.403,3240.213,466,16,-762.81,31
2546.482,3521.749,467,16,-975.267,38
2496.031,3262.749,468,16,-766.718,31
2579.337,3292.015,469,16,-712.678,28
2494.856,3244.983,470,16,-750.127,30
2506.775,3125.12,471,16,-618.345,25
2487.847,3329.588,472,16,-841.741,34
2527.796,3024.005,473,16,-496.209,20
2547.011,3170.27,474,16,-623.259,24
2596.501,3477.254,475,16,-880.753,34
2543.34,3514.777,476,16,-971.437,38
2601.561,3384.132,477,16,-782.571,30
2605.151,3561.376,478,16,-956.225,37
2524.072,3649.627,479,16,-1125.555,45
2575.254,3453.047,480,16,-877.793,34
2613.039,3255.484,481,16,-642.445,25
2628.281,3515.912,482,16,-887.631,34
2670.568,3472.961,483,16,-802.393,30
2615.049,3363.556,484,16,-748.507,29
2606.074,3467.126,485,16,-861.052,33
2637.795,3381.413,486,16,-743.618,28
2663.936,3580.535,487,16,-916.599,34
2662.915,3366.887,488,16,-703.972,26
2584.535,3446.585,489,16,-862.05,33
2598.154,3400.64,490,16,-802.486,31
2622.331,3418.991,491,16,-796.66,30
2608.62,3558.605,492,16,-949.985,36
2630.268,3363.744,493,16,-733.476,28
2617.975,3493.371,494,16,-875.396,33
2586.076,3332.939,495,16,-746.863,29
2669.521,3572.089,496,16,-902.568,34
2698.873,3875.398,497,16,-1176.525,44
2760.971,3599.596,498,16,-838.625,30
2679.856,3391.885,499,16,-712.029,27
2717.893,3479.095,500,16,-761.202,28
2721.522,3528.015,501,16,-806.493,30
2695.763,3518.061,502,16,-822.298,31
2675.803,3416.943,503,16,-741.14,28
2793.606,3600.557,504,16,-806.951,29
2733.487,3424.019,505,16,-690.532,25
2718.284,3389.228,506,16,-670.944,25
2678.177,3482.821,507,16,-804.644,30
2765.656,3705.123,508,16,-939.467,34
2695.335,3526.895,509,16,-831.56,31
2729.181,3530.211,510,16,-801.03,29
2746.139,3569.397,511,16,-823.258,30
2732.247,3634.221,512,16,-901.974,33
2777.316,3576.944,513,16,-799.628,29
2709.747,3661.759,514,16,-952.012,35
2760.211,3590.327,515,16,-830.116,30
2830.387,3663.698,516,16,-833.311,29
2748.885,3578.529,517,16,-829.644,30
2751.565,3522.843,518,16,-771.278,28
2783.925,3873.917,519,16,-1089.992,39
2844.924,3703.524,520,16,-858.6,30
2858.014,3652.836,521,16,-794.822,28
2768.457,3561.606,522,16,-793.149,29
2802.66,3670.81,523,16,-868.15,31
2847.408,3746.232,524,16,-898.824,32
2863.399,3724.018,525,16,-860.619,30
2823.666,3724,526,16,-900.334,32
2822.85,3544.147,527,16,-721.297,26
2815.192,3593.463,528,16,-778.271,28
2817.844,3686.232,529,16,-868.388,31
2830.86,3627.882,530,16,-797.022,28
2863.25,3604.959,531,16,-741.709,26
2844.425,3622.592,532,16,-778.167,27
2861.077,3703.214,533,16,-842.137,29
2870.596,3801.069,534,16,-930.473,32
2826.361,3684.612,535,16,-858.251,30
2838.706,3719.287,536,16,-880.581,31
2871.573,4075.657,537,16,-1204.084,42
2784.091,3577.427,538,16,-793.336,28
2896.281,3715.988,539,16,-819.707,28
2934.221,3948.519,540,16,-1014.298,35
2965.639,3785.896,541,16,-820.257,28
2873.156,3814.646,542,16,-941.49,33
2888.738,3696.484,543,16,-807.746,28
2882.379,3909.58,544,16,-1027.201,36
2915.28,3894.825,545,16,-979.545,34
2865.107,3838.956,546,16,-973.849,34
2869.04,3790.403,547,16,-921.363,32
2917.876,3854.121,548,16,-936.245,32
2956.839,3863.648,549,16,-906.809,31
2928.213,3750.953,550,16,-822.74,28
2910.192,3970.39,551,16,-1060.198,36
2970.505,3813.83,552,16,-843.325,28
2971.361,3891.507,553,16,-920.146,31
2956.084,3758.799,554,16,-802.715,27
2978.81,3795.799,555,16,-816.989,27
3010.537,4104.48,556,16,-1093.943,36
2976.206,3778.798,557,16,-802.592,27
2994.29,3856.127,558,16,-861.837,29
2990.257,3873.029,559,16,-882.772,30
2925.447,3695.99,560,16,-770.543,26
3013.66,3962.273,561,16,-948.613,31
3102.277,4051.916,562,16,-949.639,31
2970.252,3981.177,563,16,-1010.925,34
3033.064,3865.251,564,16,-832.187,27
2979.26,3946.338,565,16,-967.078,32
2988.706,3774.369,566,16,-785.663,26
2969.005,3720.313,567,16,-751.308,25
3006.591,3719.265,568,16,-712.674,24
2950.385,3879.903,569,16,-929.518,32
3018.686,3757.455,570,16,-738.769,24
3067.391,4123.944,571,16,-1056.553,34
3079.099,3936.473,572,16,-857.374,28
2988.153,3895.297,573,16,-907.144,30
3070.405,3991.742,574,16,-921.337,30
3027.358,3810.67,575,16,-783.312,26
3096.417,3936.917,576,16,-840.5,27
3079.323,4013.102,577,16,-933.779,30
2997.316,3895.371,578,16,-898.055,30
3023.35,3845.348,579,16,-821.998,27
3038.758,4094.456,580,16,-1055.698,35
3117.217,4028.629,581,16,-911.412,29
3076.039,3896.614,582,16,-820.575,27
3093.636,4141.057,583,16,-1047.421,34
3087.525,4002.253,584,16,-914.728,30
3147.241,4049.089,585,16,-901.848,29
3073.321,3933.445,586,16,-860.124,28
3140.099,4053.374,587,16,-913.275,29
3115.868,4118.983,588,16,-1003.115,32
3111.78,4088.852,589,16,-977.072,31
3147.829,4219.956,590,16,-1072.127,34
3136.317,4191.969,591,16,-1055.652,34
3082.78,4018.691,592,16,-935.911,30
3114.449,3903.169,593,16,-788.72,25
3152.09,3928.631,594,16,-776.541,25
3227.775,4112.463,595,16,-884.688,27
3178.284,4095.351,596,16,-917.067,29
3201.381,4111.93,597,16,-910.549,28
3197.168,4097.533,598,16,-900.365,28
3188.52,4157.473,599,16,-968.953,30
3210.33,3993.358,600,16,-783.028,24
3135.606,4078.64,601,16,-943.034,30
3220.402,4134.307,602,16,-913.905,28
3180.368,4423.85,603,16,-1243.482,39
3199.611,4274.813,604,16,-1075.202,34
3221.76,4101.815,605,16,-880.055,27
3198.656,4126.344,606,16,-927.688,29
3186.601,4457.804,607,16,-1271.203,40
3229.826,4006.756,608,16,-776.93,24
3188.609,4261.875,609,16,-1073.266,34
3215.788,4150.165,610,16,-934.377,29
3213.506,4022.576,611,16,-809.07,25
3239.814,4341.42,612,16,-1101.606,34
3205.534,4146.589,613,16,-941.055,29
3233.96,4422.314,614,16,-1188.354,37
3278.882,4226.238,615,16,-947.356,29
3198.767,4127.661,616,16,-928.894,29
3188.04,3988.424,617,16,-800.384,25
3297.772,4520.14,618,16,-1222.368,37
3291.528,4290.149,619,16,-998.621,30
3314.019,4221.558,620,16,-907.539,27
3279.45,4326.531,621,16,-1047.081,32
3349.799,4476.269,622,16,-1126.47,34
3300.025,4306.305,623,16,-1006.28,30
3300.777,4257.449,624,16,-956.672,29
3316.355,4395.347,625,16,-1078.992,33
3370.813,4399.636,626,16,-1028.823,31
3278.323,4521.053,627,16,-1242.73,38
3355.69,4338.32,628,16,-982.63,29
3320.662,4405.69,629,16,-1085.028,33
3304.379,4219.65,630,16,-915.271,28
3350.927,4738.568,631,16,-1387.641,41
3379.698,4661.521,632,16,-1281.823,38
3388.246,4496.614,633,16,-1108.368,33
3259.205,4357.297,634,16,-1098.092,34
3261.348,4446.628,635,16,-1185.28,36
