Esperado,Obtenido,# Tareas,,,ANN
1508.246,2133.404,258,16,-625.158,41
1481.804,2175.589,259,16,-693.785,47
1479.796,2017.77,260,16,-537.974,36
1538.889,2218.778,261,16,-679.889,44
1535.021,2087.968,262,16,-552.947,36
1509.047,2315.284,263,16,-806.237,53
1497.934,2268.494,264,16,-770.56,51
1496.633,2120.476,265,16,-623.843,42
1572.628,2416.595,266,16,-843.967,54
1561.777,2440.609,267,16,-878.832,56
1533.957,2042.342,268,16,-508.385,33
1565.944,2248.389,269,16,-682.445,44
1526.121,2309.694,270,16,-783.573,51
1541.258,2459.445,271,16,-918.187,60
1554.71,2454.869,272,16,-900.159,58
1594.3,2253.074,273,16,-658.774,41
1514.748,2444.148,274,16,-929.4,61
1612.29,2275.964,275,16,-663.674,41
1592.332,2407.599,276,16,-815.267,51
1626.101,2564.023,277,16,-937.922,58
1585.794,2374.235,278,16,-788.441,50
1588.116,2379.754,279,16,-791.638,50
1552.611,2337.33,280,16,-784.719,51
1584.132,2458.292,281,16,-874.16,55
1616.445,2408.988,282,16,-792.543,49
1586.472,2300.124,283,16,-713.652,45
1690.106,2302.298,284,16,-612.192,36
1595.678,2666.678,285,16,-1071,67
1691.771,2536.306,286,16,-844.535,50
1624.084,2498.059,287,16,-873.975,54
1667.908,2211.347,288,16,-543.439,33
1670.368,2469.638,289,16,-799.27,48
1692.308,2514.813,290,16,-822.505,49
1689.114,2516.648,291,16,-827.534,49
1644.866,2291.479,292,16,-646.613,39
1726.223,2614.154,293,16,-887.931,51
1723.997,2510.746,294,16,-786.749,46
1710.557,2399.826,295,16,-689.269,40
1683.763,2551.756,296,16,-867.993,52
1678.665,2421.715,297,16,-743.05,44
1735.911,2629.023,298,16,-893.112,51
1686.052,2439.457,299,16,-753.405,45
1667.513,2230.282,300,16,-562.769,34
1721.563,2413.447,301,16,-691.884,40
1747.232,2604.853,302,16,-857.621,49
1723.364,2879.814,303,16,-1156.45,67
1672.14,2337.86,304,16,-665.72,40
1736.445,2853.901,305,16,-1117.456,64
1762.091,2409.817,306,16,-647.726,37
1776.605,2681.449,307,16,-904.844,51
1739.087,2379.836,308,16,-640.749,37
1763.291,2484.875,309,16,-721.584,41
1722.684,2473.543,310,16,-750.859,44
1712.007,2550.579,311,16,-838.572,49
1786.018,2616.333,312,16,-830.315,46
1751.382,2483.351,313,16,-731.969,42
1830.963,2620.538,314,16,-789.575,43
1767.288,2539.285,315,16,-771.997,44
1732.196,2576.278,316,16,-844.082,49
1778.808,2796.291,317,16,-1017.483,57
1776.946,2810.329,318,16,-1033.383,58
1837.876,2675.536,319,16,-837.66,46
1761.227,2570.832,320,16,-809.605,46
1787.428,2595.111,321,16,-807.683,45
1842.098,2693.374,322,16,-851.276,46
1850.52,2785.091,323,16,-934.571,51
1844.3,2628.622,324,16,-784.322,43
1857.671,2837.05,325,16,-979.379,53
1875.948,2444.83,326,16,-568.882,30
1887.968,2637.198,327,16,-749.23,40
1864.875,2853.998,328,16,-989.123,53
1782.303,2577.589,329,16,-795.286,45
1789.757,2510.213,330,16,-720.456,40
1857.981,2715.201,331,16,-857.22,46
1866.777,2819.285,332,16,-952.508,51
1894.252,2920.506,333,16,-1026.254,54
1898.42,2710.903,334,16,-812.483,43
1898.78,3009.823,335,16,-1111.043,59
1826.778,2771.829,336,16,-945.051,52
1833.721,2820.948,337,16,-987.227,54
1952.978,2863.216,338,16,-910.238,47
1889.096,2830.165,339,16,-941.069,50
1923.069,2889.286,340,16,-966.217,50
1918.325,2631.595,341,16,-713.27,37
1892.672,2892.79,342,16,-1000.118,53
1927.551,2668.915,343,16,-741.364,38
1916.454,2974.316,344,16,-1057.862,55
1911.626,2749.576,345,16,-837.95,44
1951.981,2668.84,346,16,-716.859,37
1923.14,3225.339,347,16,-1302.199,68
1915.538,2973.054,348,16,-1057.516,55
1997.706,2689.63,349,16,-691.924,35
1976.193,3125.002,350,16,-1148.809,58
1976.549,2666.173,351,16,-689.624,35
1989.092,2835.685,352,16,-846.593,43
1974.666,2897.856,353,16,-923.19,47
2031.769,3202.225,354,16,-1170.456,58
1905.434,2696.895,355,16,-791.461,42
1982.717,2934.364,356,16,-951.647,48
1971.946,2831.277,357,16,-859.331,44
2030.674,3008.336,358,16,-977.662,48
2019.782,3013.613,359,16,-993.831,49
2011.251,2770.248,360,16,-758.997,38
1993.952,2707.624,361,16,-713.672,36
1955.978,2834.93,362,16,-878.952,45
1976.269,2682.816,363,16,-706.547,36
2056.327,3219.571,364,16,-1163.244,57
2050.657,2732.739,365,16,-682.082,33
2019.336,3217.234,366,16,-1197.898,59
1954.474,2757.383,367,16,-802.909,41
2039.62,2852.836,368,16,-813.216,40
2081.258,2876.042,369,16,-794.784,38
1999.507,2680.09,370,16,-680.583,34
2087.286,2913.003,371,16,-825.717,40
1979.998,2912.173,372,16,-932.175,47
2065.693,2836.267,373,16,-770.574,37
2090.078,3013.095,374,16,-923.017,44
2094.128,3363.374,375,16,-1269.246,61
2103.515,2902.913,376,16,-799.398,38
2079.742,2921.629,377,16,-841.887,40
2064.925,3139.51,378,16,-1074.585,52
2081.512,2963.62,379,16,-882.108,42
2165.022,3276.676,380,16,-1111.654,51
2131.517,3024.451,381,16,-892.934,42
2072.253,2833.886,382,16,-761.633,37
2088.846,2872.213,383,16,-783.367,38
2104.509,3017.349,384,16,-912.84,43
2135.857,3071.318,385,16,-935.461,44
2140.86,3001.841,386,16,-860.981,40
2073.275,3105.988,387,16,-1032.713,50
2182.551,2952.836,388,16,-770.285,35
2155.585,3187.827,389,16,-1032.242,48
2132.824,2953.893,390,16,-821.069,38
2193.338,3188.639,391,16,-995.301,45
2160.407,3025.432,392,16,-865.025,40
2113.07,3060.467,393,16,-947.397,45
2194.768,3045.371,394,16,-850.603,39
2218.226,3098.179,395,16,-879.953,40
2162.828,3281.442,396,16,-1118.614,52
2136.082,3225.95,397,16,-1089.868,51
2220.677,3343.2,398,16,-1122.523,51
2182.351,3127.624,399,16,-945.273,43
2132.5,3053.713,400,16,-921.213,43
2250.45,3244.286,401,16,-993.836,44
2244.588,3397.309,402,16,-1152.721,51
2200.423,2845.973,403,16,-645.55,29
2261.427,3204.568,404,16,-943.141,42
2203.033,3506.385,405,16,-1303.352,59
2244.9,3117.293,406,16,-872.393,39
2265.114,3119.156,407,16,-854.042,38
2252.106,3254.268,408,16,-1002.162,44
2228.589,3019.285,409,16,-790.696,35
2236.581,3303.594,410,16,-1067.013,48
2240.834,3242.689,411,16,-1001.855,45
2267.611,3342.795,412,16,-1075.184,47
2241.643,3481.231,413,16,-1239.588,55
2341.693,3156.236,414,16,-814.543,35
2256.267,3154.55,415,16,-898.283,40
2258.008,3243.081,416,16,-985.073,44
2343.279,3513.737,417,16,-1170.458,50
2258.151,3280.256,418,16,-1022.105,45
2275.318,3236.851,419,16,-961.533,42
2196.526,3160.642,420,16,-964.116,44
2348.302,3164.184,421,16,-815.882,35
2369.509,3332.018,422,16,-962.509,41
2279.072,3321.392,423,16,-1042.32,46
2251.244,3035.193,424,16,-783.949,35
2357.372,3223.246,425,16,-865.874,37
2335.686,3180.092,426,16,-844.406,36
2335.32,3429.803,427,16,-1094.483,47
2382.518,3614.713,428,16,-1232.195,52
2354.939,3326.105,429,16,-971.166,41
2323.515,3282.947,430,16,-959.432,41
2320.689,3441.95,431,16,-1121.261,48
2365.622,3290.279,432,16,-924.657,39
2328.728,3298.615,433,16,-969.887,42
2398.276,3410.977,434,16,-1012.701,42
2440.656,3463.062,435,16,-1022.406,42
2434.799,3664.058,436,16,-1229.259,50
2423.43,3624.931,437,16,-1201.501,50
2344.279,3517.301,438,16,-1173.022,50
2393.984,3564.657,439,16,-1170.673,49
2462.901,3563.654,440,16,-1100.753,45
2401.302,3427.386,441,16,-1026.084,43
2425.854,3450.404,442,16,-1024.55,42
2446.803,3643.081,443,16,-1196.278,49
2414.059,3531.808,444,16,-1117.749,46
2413.105,3296.221,445,16,-883.116,37
2439.174,3554.438,446,16,-1115.264,46
2429.198,3169.577,447,16,-740.379,30
2411.781,3499.125,448,16,-1087.344,45
2477.498,3347.794,449,16,-870.296,35
2430.125,3253.853,450,16,-823.728,34
2494.432,3410.949,451,16,-916.517,37
2435.984,3542.658,452,16,-1106.674,45
2534.263,3539.781,453,16,-1005.518,40
2446.389,3709.457,454,16,-1263.068,52
2487.873,3405.513,455,16,-917.64,37
2464.838,3860.634,456,16,-1395.796,57
2521.051,3480.821,457,16,-959.77,38
2442.912,3559.465,458,16,-1116.553,46
2479.166,3375.098,459,16,-895.932,36
2504.295,3381.468,460,16,-877.173,35
2493.156,3746.832,461,16,-1253.676,50
2498.589,3512.055,462,16,-1013.466,41
2505.587,3522.081,463,16,-1016.494,41
2479.82,3471.938,464,16,-992.118,40
2465.062,3492.267,465,16,-1027.205,42
2477.403,3317.503,466,16,-840.1,34
2546.482,3938.086,467,16,-1391.604,55
2496.031,3485.888,468,16,-989.857,40
2579.337,3676.733,469,16,-1097.396,43
2494.856,3597.856,470,16,-1103,44
2506.775,3725.875,471,16,-1219.1,49
2487.847,3652.887,472,16,-1165.04,47
2527.796,3388.967,473,16,-861.171,34
2547.011,3842.742,474,16,-1295.731,51
2596.501,3582.319,475,16,-985.818,38
2543.34,3604.622,476,16,-1061.282,42
