Esperado,Obtenido,,,,ANN
10355.069,11436.271,309,4,-1081.202,10
10410.596,11802.494,310,4,-1391.898,13
10732.589,12317.562,311,4,-1584.973,15
10770.017,12656.954,312,4,-1886.937,18
10789.517,12247.74,313,4,-1458.223,14
10633.395,11800.301,314,4,-1166.906,11
10583.222,11982.639,315,4,-1399.417,13
10596.775,12092.072,316,4,-1495.297,14
10986.08,12780.978,317,4,-1794.898,16
11039.926,12338.355,318,4,-1298.429,12
10646.876,12257.346,319,4,-1610.47,15
10722.958,11596.175,320,4,-873.217,8
11069.257,12443.712,321,4,-1374.455,12
10941.894,12175.846,322,4,-1233.952,11
10946.961,12380.332,323,4,-1433.371,13
11077.339,12330.036,324,4,-1252.697,11
10826.02,11895.166,325,4,-1069.146,10
11247.701,12601.546,326,4,-1353.845,12
10987.405,12696.773,327,4,-1709.368,16
10985.119,12361.363,328,4,-1376.244,13
11470.096,12700.711,329,4,-1230.615,11
10808.035,11857.664,330,4,-1049.629,10
10852.164,12347.951,331,4,-1495.787,14
11261.464,12955.427,332,4,-1693.963,15
11437.137,12773.974,333,4,-1336.837,12
11180.794,12705.22,334,4,-1524.426,14
11461.534,12901.741,335,4,-1440.207,13
11407.115,13164.967,336,4,-1757.852,15
11471.118,12982.959,337,4,-1511.841,13
11733.419,13316.366,338,4,-1582.947,13
11789.205,13771.824,339,4,-1982.619,17
11598.278,13479.279,340,4,-1881.001,16
11654.014,12940.675,341,4,-1286.661,11
11374.923,12925.381,342,4,-1550.458,14
11603.746,13361.017,343,4,-1757.271,15
11699.399,12954.959,344,4,-1255.56,11
11664.97,13481.955,345,4,-1816.985,16
11626.747,13120.749,346,4,-1494.002,13
11546.655,13053.285,347,4,-1506.63,13
12062.921,13450.617,348,4,-1387.696,12
11925.054,13350.213,349,4,-1425.159,12
11671.628,12948.877,350,4,-1277.249,11
11532.189,12676.271,351,4,-1144.082,10
12073.934,13427.401,352,4,-1353.467,11
11979.164,13820.706,353,4,-1841.542,15
11946.55,13276.703,354,4,-1330.153,11
12118.397,13396.195,355,4,-1277.798,11
11874.058,13170.495,356,4,-1296.437,11
12091.662,13683.31,357,4,-1591.648,13
12250.495,13676.962,358,4,-1426.467,12
12164.134,13839.133,359,4,-1674.999,14
12361.721,13738.733,360,4,-1377.012,11
12267.751,13770.617,361,4,-1502.866,12
12074.801,13442.409,362,4,-1367.608,11
12259.887,13775.925,363,4,-1516.038,12
12216.625,13751.885,364,4,-1535.26,13
12297.061,13968.61,365,4,-1671.549,14
12406.002,14165.907,366,4,-1759.905,14
12566.529,13812.329,367,4,-1245.8,10
12427.629,13865.556,368,4,-1437.927,12
12609.022,13769.798,369,4,-1160.776,9
12881.843,14561.216,370,4,-1679.373,13
12414.345,13741.68,371,4,-1327.335,11
12386.857,14021.11,372,4,-1634.253,13
12351.11,14384.908,373,4,-2033.798,16
12605.91,13763.037,374,4,-1157.127,9
12776.057,13690.937,375,4,-914.88,7
12841.727,14039.63,376,4,-1197.903,9
12598.631,13917.76,377,4,-1319.129,10
12885.102,14360.841,378,4,-1475.739,11
12680.124,14574.578,379,4,-1894.454,15
13023.706,14351.716,380,4,-1328.01,10
12787.501,13722.182,381,4,-934.681,7
13080.509,14735.006,382,4,-1654.497,13
12864.639,14283.029,383,4,-1418.39,11
12806.978,14760.679,384,4,-1953.701,15
12909.465,14614.904,385,4,-1705.439,13
12933.235,14286.683,386,4,-1353.448,10
13014.084,14575.942,387,4,-1561.858,12
13150.054,14952.983,388,4,-1802.929,14
13043.516,14231.635,389,4,-1188.119,9
13021.894,14125.151,390,4,-1103.257,8
12957.248,14362.383,391,4,-1405.135,11
13288.326,14952.484,392,4,-1664.158,13
13222.034,14756.063,393,4,-1534.029,12
13227.846,14675.768,394,4,-1447.922,11
12897.729,14168.523,395,4,-1270.794,10
13352.453,15357.12,396,4,-2004.667,15
13765.976,15114.943,397,4,-1348.967,10
13716.405,15628.447,398,4,-1912.042,14
13333.743,15153.854,399,4,-1820.111,14
13418.427,15110.183,400,4,-1691.756,13
13029.588,15098.959,401,4,-2069.371,16
13817.429,15606.705,402,4,-1789.276,13
13404.778,15382.977,403,4,-1978.199,15
13422.855,15047.731,404,4,-1624.876,12
13632.036,15575.047,405,4,-1943.011,14
13560.179,15267.044,406,4,-1706.865,13
13895.828,16001.897,407,4,-2106.069,15
13718.687,15781.499,408,4,-2062.812,15
13860.699,15934.992,409,4,-2074.293,15
13831.248,15799.147,410,4,-1967.899,14
13978.496,15978.941,411,4,-2000.445,14
13723.618,14917.051,412,4,-1193.433,9
13760.996,15302.01,413,4,-1541.014,11
14027.633,15792.307,414,4,-1764.674,13
13915.654,15322.701,415,4,-1407.047,10
13725.595,15022.268,416,4,-1296.673,9
14195.1,16171.453,417,4,-1976.353,14
14051.024,15957.357,418,4,-1906.333,14
14344.421,16074.389,419,4,-1729.968,12
13933.789,15768.852,420,4,-1835.063,13
13723.237,15470.598,421,4,-1747.361,13
14339.219,15994.645,422,4,-1655.426,12
14222.475,15591.647,423,4,-1369.172,10
14200.04,16626.804,424,4,-2426.764,17
14032.159,15588.646,425,4,-1556.487,11
14306.689,15846.517,426,4,-1539.828,11
14590.833,16357.34,427,4,-1766.507,12
14730.267,16504.178,428,4,-1773.911,12
14248.055,15606.088,429,4,-1358.033,10
14360.393,16225.439,430,4,-1865.046,13
