,,,,,SVM
8353.802,9762.042,244,4,-1408.24,17
8353.294,9362.964,245,4,-1009.67,12
8459.582,9807.475,246,4,-1347.893,16
8583.896,10643.614,247,4,-2059.718,24
8535.662,10003.228,248,4,-1467.566,17
8552.876,9605.546,249,4,-1052.67,12
8284.382,9827.339,250,4,-1542.957,19
8507.399,9844.788,251,4,-1337.389,16
8806.551,9798.214,252,4,-991.663,11
8833.849,9490.872,253,4,-657.023,7
8922.659,10350.863,254,4,-1428.204,16
8607.037,9846.505,255,4,-1239.468,14
8497.497,10224.366,256,4,-1726.869,20
9012.811,10079.181,257,4,-1066.37,12
8547.511,10104.832,258,4,-1557.321,18
8735.726,10253.117,259,4,-1517.391,17
8927.429,10487.143,260,4,-1559.714,17
8906.941,9940.88,261,4,-1033.939,12
8807.143,10172.889,262,4,-1365.746,16
8948.06,10199.224,263,4,-1251.164,14
9181.7,10672.873,264,4,-1491.173,16
8997.13,10326.004,265,4,-1328.874,15
9129.169,10867.757,266,4,-1738.588,19
9212.266,10540.487,267,4,-1328.221,14
9261.151,11247.008,268,4,-1985.857,21
9060.247,9971.199,269,4,-910.952,10
9270.501,10759.882,270,4,-1489.381,16
9249.902,10379.032,271,4,-1129.13,12
9323.279,10235.876,272,4,-912.597,10
9063.004,10262.015,273,4,-1199.011,13
9489.83,11002.617,274,4,-1512.787,16
9298.889,10650.453,275,4,-1351.564,15
9354.452,10628.434,276,4,-1273.982,14
9237.195,10309.995,277,4,-1072.8,12
9691.858,10833.123,278,4,-1141.265,12
9505.585,11278.323,279,4,-1772.738,19
9410.489,10614.536,280,4,-1204.047,13
9318.31,11088.653,281,4,-1770.343,19
9410.084,10640.815,282,4,-1230.731,13
9646.333,11470.826,283,4,-1824.493,19
10085.385,11237.295,284,4,-1151.91,11
9744.242,11394.939,285,4,-1650.697,17
9798.107,10973.852,286,4,-1175.745,12
10006.972,11435.164,287,4,-1428.192,14
10217.808,11690.031,288,4,-1472.223,14
9705.185,11003.927,289,4,-1298.742,13
9771.028,11146.9,290,4,-1375.872,14
9872.001,11214.362,291,4,-1342.361,14
10053.438,11716.26,292,4,-1662.822,17
10169.707,11805.281,293,4,-1635.574,16
10214.211,11752.572,294,4,-1538.361,15
10088.981,11242.942,295,4,-1153.961,11
9741.341,10919.945,296,4,-1178.604,12
9767.512,10867.315,297,4,-1099.803,11
10302.485,11784.785,298,4,-1482.3,14
10249.07,11606.708,299,4,-1357.638,13
10245.348,11015.242,300,4,-769.894,8
10068.908,11806.775,301,4,-1737.867,17
10466.274,12108.006,302,4,-1641.732,16
10407.002,11468.582,303,4,-1061.58,10
10280.495,11847.763,304,4,-1567.268,15
10323.083,11728.656,305,4,-1405.573,14
10306.746,12070.527,306,4,-1763.781,17
10641.914,12040.645,307,4,-1398.731,13
10533.482,11753.283,308,4,-1219.801,12
10355.069,11784.429,309,4,-1429.36,14
10410.596,11943.019,310,4,-1532.423,15
10732.589,12321.856,311,4,-1589.267,15
10770.017,12806.93,312,4,-2036.913,19
10789.517,12537.281,313,4,-1747.764,16
10633.395,12162.194,314,4,-1528.799,14
10583.222,12090.488,315,4,-1507.266,14
10596.775,12323.712,316,4,-1726.937,16
10986.08,12358.004,317,4,-1371.924,12
11039.926,12732.28,318,4,-1692.354,15
10646.876,12459.216,319,4,-1812.34,17
10722.958,11931.5,320,4,-1208.542,11
11069.257,12430.21,321,4,-1360.953,12
10941.894,12470.946,322,4,-1529.052,14
10946.961,12441.291,323,4,-1494.33,14
11077.339,12512.501,324,4,-1435.162,13
10826.02,12130.515,325,4,-1304.495,12
11247.701,12680.477,326,4,-1432.776,13
10987.405,12765.22,327,4,-1777.815,16
10985.119,12563.805,328,4,-1578.686,14
11470.096,13052.078,329,4,-1581.982,14
10808.035,12213.778,330,4,-1405.743,13
10852.164,12066.721,331,4,-1214.557,11
11261.464,13175.659,332,4,-1914.195,17
11437.137,13097.897,333,4,-1660.76,15
11180.794,12728.31,334,4,-1547.516,14
11461.534,13238.204,335,4,-1776.67,16
11407.115,13681.356,336,4,-2274.241,20
11471.118,12956.392,337,4,-1485.274,13
11733.419,13407.894,338,4,-1674.475,14
11789.205,13835.171,339,4,-2045.966,17
11598.278,13588.833,340,4,-1990.555,17
11654.014,13131.789,341,4,-1477.775,13
11374.923,12859.951,342,4,-1485.028,13
11603.746,13631.773,343,4,-2028.027,17
11699.399,12954.705,344,4,-1255.306,11
11664.97,13590.252,345,4,-1925.282,17
11626.747,13039.969,346,4,-1413.222,12
11546.655,12874.509,347,4,-1327.854,11
12062.921,13929.748,348,4,-1866.827,15
11925.054,13423.266,349,4,-1498.212,13
11671.628,12977.454,350,4,-1305.826,11
11532.189,12637.629,351,4,-1105.44,10
12073.934,13607.088,352,4,-1533.154,13
11979.164,13803.813,353,4,-1824.649,15
11946.55,13361.567,354,4,-1415.017,12
12118.397,13379.417,355,4,-1261.02,10
11874.058,13214.927,356,4,-1340.869,11
12091.662,13889.503,357,4,-1797.841,15
12250.495,13534.932,358,4,-1284.437,10
12164.134,13882.57,359,4,-1718.436,14
12361.721,13689.432,360,4,-1327.711,11
12267.751,13899.469,361,4,-1631.718,13
12074.801,13725.994,362,4,-1651.193,14
12259.887,13671.784,363,4,-1411.897,12
12216.625,14069.656,364,4,-1853.031,15
12297.061,13874.113,365,4,-1577.052,13
12406.002,14510.438,366,4,-2104.436,17
12566.529,14239.695,367,4,-1673.166,13
12427.629,14025.258,368,4,-1597.629,13
12609.022,13785.446,369,4,-1176.424,9
12881.843,14599.863,370,4,-1718.02,13
12414.345,13585.62,371,4,-1171.275,9
12386.857,14335.753,372,4,-1948.896,16
12351.11,14778.763,373,4,-2427.653,20
12605.91,14006.541,374,4,-1400.631,11
12776.057,14250.254,375,4,-1474.197,12
12841.727,14367.876,376,4,-1526.149,12
12598.631,14385.45,377,4,-1786.819,14
12885.102,14195.883,378,4,-1310.781,10
12680.124,14680.057,379,4,-1999.933,16
13023.706,14701.347,380,4,-1677.641,13
12787.501,14075.496,381,4,-1287.995,10
13080.509,14887.027,382,4,-1806.518,14
12864.639,14344.105,383,4,-1479.466,12
12806.978,14915.152,384,4,-2108.174,16
12909.465,14873.706,385,4,-1964.241,15
12933.235,14656.346,386,4,-1723.111,13
13014.084,14818.889,387,4,-1804.805,14
13150.054,15073.611,388,4,-1923.557,15
13043.516,14564.488,389,4,-1520.972,12
13021.894,14381.986,390,4,-1360.092,10
12957.248,14392.233,391,4,-1434.985,11
13288.326,14900.002,392,4,-1611.676,12
13222.034,14796.818,393,4,-1574.784,12
