esperado,obtenido,accuracy,tareas,maquinas
1786.018,2488.316,0.6375,312,16
1751.382,2095.444,0.6375,313,16
1830.963,2741.964,0.6625,314,16
1767.288,2350.051,0.69375,315,16
1732.196,2521.897,0.60625,316,16
1778.808,2381.013,0.68125,317,16
1776.946,2519.486,0.675,318,16
1837.876,2232.882,0.75,319,16
1761.227,2562.177,0.66875,320,16
1787.428,2315.288,0.71875,321,16
1842.098,2457.301,0.66875,322,16
1850.52,2380.323,0.65,323,16
1844.3,2427.706,0.73125,324,16
1857.671,2470.894,0.6875,325,16
1875.948,2446.777,0.64375,326,16
1887.968,2567.174,0.675,327,16
1864.875,2528.512,0.675,328,16
1782.303,2357.416,0.60625,329,16
1789.757,2282.509,0.6125,330,16
1857.981,2479.056,0.75,331,16
1866.777,2557.559,0.65,332,16
1894.252,2550.871,0.6,333,16
1898.42,2406.376,0.6625,334,16
1898.78,2685.94,0.69375,335,16
1826.778,2498.687,0.69375,336,16
1833.721,2618.57,0.675,337,16
1952.978,2625.227,0.69375,338,16
1889.096,2448.959,0.63125,339,16
1923.069,2950.879,0.65,340,16
1918.325,2592.807,0.64375,341,16
1892.672,2536.798,0.68125,342,16
1927.551,2512.207,0.6125,343,16
1916.454,2644.138,0.725,344,16
1911.626,2592.283,0.7,345,16
1951.981,2580.936,0.70625,346,16
1923.14,2600.098,0.61875,347,16
1915.538,2575.39,0.7375,348,16
1997.706,2621.724,0.69375,349,16
1976.193,2769.917,0.65625,350,16
1976.549,2456.307,0.68125,351,16
1989.092,2827.99,0.75625,352,16
1974.666,2688.407,0.65625,353,16
2031.769,2693.697,0.7,354,16
1905.434,2519.46,0.7625,355,16
1982.717,2639.709,0.68125,356,16
1971.946,2615.369,0.70625,357,16
2030.674,2552.604,0.65,358,16
2019.782,2686.598,0.66875,359,16
2011.251,2611.489,0.65625,360,16
1993.952,2688.25,0.7375,361,16
1955.978,2671.77,0.68125,362,16
1976.269,2652.21,0.7125,363,16
2056.327,2839.516,0.61875,364,16
2050.657,2577.561,0.6625,365,16
2019.336,2996.412,0.64375,366,16
1954.474,2637.284,0.66875,367,16
2039.62,2603.82,0.725,368,16
2081.258,2885.374,0.7125,369,16
1999.507,2571.112,0.66875,370,16
2087.286,2759.111,0.725,371,16
1979.998,2677.154,0.6875,372,16
2065.693,2860.979,0.7375,373,16
2090.078,2822.066,0.5625,374,16
2094.128,2623.949,0.6375,375,16
2103.515,2659.796,0.675,376,16
2079.742,2822.399,0.68125,377,16
2064.925,2877.042,0.69375,378,16
2081.512,2855.192,0.725,379,16
2165.022,2963.134,0.60625,380,16
2131.517,3037.918,0.6625,381,16
2072.253,2539.466,0.63125,382,16
2088.846,2706.034,0.6625,383,16
2104.509,2888.344,0.7,384,16
2135.857,2853.82,0.6625,385,16
2140.86,2840.244,0.725,386,16
2073.275,2639.151,0.68125,387,16
2182.551,2956.001,0.64375,388,16
2155.585,2861.242,0.68125,389,16
2132.824,2832.639,0.73125,390,16
2193.338,3004.702,0.65,391,16
2160.407,2782.839,0.68125,392,16
